2;3;4;5;7;8;9;10;11;13;15;18;22;24;25
1;2;4;5;7;8;9;10;11;13;15;18;22;24;25
1;2;3;5;7;8;9;10;11;13;15;18;22;24;25
1;2;3;4;7;8;9;10;11;13;15;18;22;24;25
1;2;3;4;5;8;9;10;11;13;15;18;22;24;25
1;2;3;4;5;7;9;10;11;13;15;18;22;24;25
1;2;3;4;5;7;8;10;11;13;15;18;22;24;25
1;2;3;4;5;7;8;9;11;13;15;18;22;24;25
1;2;3;4;5;7;8;9;10;13;15;18;22;24;25
1;2;3;4;5;7;8;9;10;11;15;18;22;24;25
1;2;3;4;5;7;8;9;10;11;13;18;22;24;25
1;2;3;4;5;7;8;9;10;11;13;15;22;24;25
1;2;3;4;5;7;8;9;10;11;13;15;18;24;25
1;2;3;4;5;7;8;9;10;11;13;15;18;22;25
1;2;3;4;5;7;8;9;10;11;13;15;18;22;24
